time,open,high,low,close,volume
2026-04-15T00:54:00Z,74527.28,74550.81,74466.79,74550.81,12.01791153
2026-04-15T00:57:00Z,74550.8,74630.28,74546.54,74601.5,15.675143389999999
2026-04-15T01:00:00Z,74601.5,74627.03,74545.32,74616.44,12.5475309
2026-04-15T01:03:00Z,74616.44,74720.05,74615.66,74684.25,17.34260131
2026-04-15T01:06:00Z,74683.66,74782.5,74676.3,74722.33,16.99886717
2026-04-15T01:09:00Z,74722.32,74757.06,74687.55,74695.0,15.95046448
2026-04-15T01:12:00Z,74698.75,74798.41,74694.01,74790.68,20.88801197
2026-04-15T01:15:00Z,74790.69,74828.61,74725.69,74734.65,11.86571614
2026-04-15T01:18:00Z,74734.65,74766.36,74705.0,74715.07,13.41694071
2026-04-15T01:21:00Z,74715.07,74715.08,74626.0,74635.7,10.61374648
2026-04-15T01:24:00Z,74635.71,74672.76,74620.19,74672.76,4.32270264
2026-04-15T01:27:00Z,74672.75,74735.31,74661.62,74720.1,5.61465618
2026-04-15T01:30:00Z,74720.11,74746.53,74668.04,74716.35,7.35646992
2026-04-15T01:33:00Z,74716.35,74716.39,74631.21,74637.16,6.17337692
2026-04-15T01:36:00Z,74637.15,74639.18,74545.27,74553.91,5.21149961
2026-04-15T01:39:00Z,74551.72,74697.53,74527.02,74635.06,17.75185618
2026-04-15T01:42:00Z,74631.04,74688.14,74626.69,74672.77,13.36531244
2026-04-15T01:45:00Z,74672.77,74691.33,74609.18,74637.63,7.38447127
2026-04-15T01:48:00Z,74637.63,74729.4,74637.63,74710.68,9.87238237
2026-04-15T01:51:00Z,74710.68,74793.1,74629.63,74629.63,18.34807652
2026-04-15T01:54:00Z,74629.64,74702.87,74626.47,74654.08,21.99945701
2026-04-15T01:57:00Z,74654.08,74698.47,74646.37,74649.0,9.38651048
2026-04-15T02:00:00Z,74648.99,74745.67,74640.9,74683.1,20.838974630000003
2026-04-15T02:03:00Z,74683.11,74690.86,74636.49,74663.08,6.95515289
2026-04-15T02:06:00Z,74663.07,74674.14,74603.23,74605.12,5.09870153
2026-04-15T02:09:00Z,74605.12,74608.27,74560.04,74573.64,6.53069856
2026-04-15T02:12:00Z,74573.64,74583.56,74559.19,74579.99,2.60496496
2026-04-15T02:15:00Z,74580.0,74606.25,74555.94,74593.0,5.63111018
2026-04-15T02:18:00Z,74593.91,74634.47,74560.52,74582.43,3.29657881
2026-04-15T02:21:00Z,74583.19,74584.45,74512.48,74529.12,8.65238549
2026-04-15T02:24:00Z,74528.12,74532.94,74423.81,74423.84,20.062165729999997
2026-04-15T02:27:00Z,74423.84,74435.95,74219.1,74378.87,79.14515974999999
2026-04-15T02:30:00Z,74378.86,74386.02,74226.72,74241.79,11.48132466
2026-04-15T02:33:00Z,74242.5,74295.0,74220.6,74258.5,6.30147839
2026-04-15T02:36:00Z,74258.49,74293.38,74216.7,74233.39,16.166065770000003
2026-04-15T02:39:00Z,74233.39,74297.52,74217.65,74297.51,11.64220321
2026-04-15T02:42:00Z,74297.51,74320.47,74277.73,74315.21,13.46215951
2026-04-15T02:45:00Z,74315.21,74321.4,74225.0,74272.88,10.64967145
2026-04-15T02:48:00Z,74272.75,74322.87,74242.01,74278.01,13.86908182
2026-04-15T02:51:00Z,74278.0,74336.45,74272.32,74298.53,8.36922614
2026-04-15T02:54:00Z,74298.44,74378.93,74291.04,74377.01,9.62337322
2026-04-15T02:57:00Z,74377.38,74386.04,74340.0,74360.39,3.74605985
2026-04-15T03:00:00Z,74360.39,74369.98,74293.5,74294.0,8.23083227
2026-04-15T03:03:00Z,74294.0,74309.93,74258.59,74258.59,4.69086356
2026-04-15T03:06:00Z,74258.59,74325.84,74253.5,74294.52,3.99607964
2026-04-15T03:09:00Z,74294.51,74294.51,74241.31,74273.44,4.9462926199999995
2026-04-15T03:12:00Z,74273.44,74294.0,74252.59,74262.12,2.1760345
2026-04-15T03:15:00Z,74258.58,74277.17,74215.0,74245.57,3.634735
2026-04-15T03:18:00Z,74246.15,74281.88,74201.94,74246.99,5.601114470000001
2026-04-15T03:21:00Z,74249.99,74348.0,74230.82,74335.35,11.09113917
2026-04-15T03:24:00Z,74334.99,74400.17,74307.47,74385.94,23.500791699999997
2026-04-15T03:27:00Z,74385.94,74406.0,74323.0,74328.07,4.43290895
2026-04-15T03:30:00Z,74328.07,74362.07,74295.0,74348.63,5.02917062
2026-04-15T03:33:00Z,74348.63,74382.0,74320.3,74326.99,2.28737675
2026-04-15T03:36:00Z,74326.99,74326.99,74240.88,74259.0,3.43481338
